DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,poi_mean,num_product,process_cost,mat_to_prod,order_cost,material_cost,purchase_yield,num_material,total_budget,salvage_price,sales_price,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",0,0.005061637593763077,0.15545729855599655,0.264,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",1,-0.011407662997054672,0.1376180748587657,0.264,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",2,-0.0,0.16580906017834374,0.3,1,0.3,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",3,-0.019233836589556283,0.144960626569356,0.379,1,0.296,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",4,0.001026251847314909,0.1837334838463646,0.296,1,0.296,1,0.264,1,0.2,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",5,-0.010506623354236794,0.1488448796092373,0.264,1,0.232,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",6,-0.003241062733998112,0.15536463597283381,0.232,1,0.232,1,0.232,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",7,-0.008363770807269398,0.14605673502841982,0.268,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",8,-0.011232045972181042,0.13775155428956543,0.2,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.5522, 0.5522, 0.6626, 0.7952]","[12.0, 12.0, 12.0]","[1.8891, 1.8891, 2.2669, 2.7203]",9,0.00809701247798627,0.1497089278793602,0.268,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",0,0.02046354298708437,0.20469456469971298,0.498,1,0.418,1,0.338,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",1,0.003606239847860061,0.15091671369172382,0.232,1,0.232,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",2,-0.01377756610370131,0.1527335696060037,0.338,1,0.264,1,0.264,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",3,-0.0007591604115278302,0.16750410189935724,0.296,1,0.264,1,0.264,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",4,5.1802869729001014e-05,0.1601682863922006,0.264,1,0.264,1,0.232,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",5,-0.0,0.14672865332673782,0.232,1,0.2,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",6,0.0006204549471655536,0.18026542050884764,0.3,1,0.3,1,0.232,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",7,-0.00388637365438045,0.20508139862196884,0.545,1,0.264,1,0.264,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",8,0.015063834327589539,0.1646767444865893,0.424,1,0.268,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.496, 0.496, 0.5394, 0.5866]","[12.0, 12.0, 12.0]","[2.7672, 2.7672, 3.0093, 3.2726]",9,-0.006181735850335018,0.17674853456690304,0.424,1,0.338,1,0.296,1,0.168,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",0,0.0077754571585458565,0.27848207828725347,0.589,1,0.424,1,0.424,1,0.232,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",1,-0.001253416293797774,0.2299929822737145,0.382,1,0.382,1,0.342,1,0.236,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",2,-0.017539126761065872,0.21225076155730865,0.383,1,0.383,1,0.296,1,0.232,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",3,-0.004995713646411043,0.17285810566075993,0.338,1,0.338,1,0.264,1,0.168,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",4,-0.0014607055294795558,0.1766029048314045,0.378,1,0.296,1,0.296,1,0.168,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[15.0, 15.0, 15.0]",3,"[0.1, 0.1, 0.1]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",20,"[1.025, 1.025, 1.2044, 1.4151]","[0.9, 0.9, 0.9, 0.9]",4,600,"[0.4933, 0.4933, 0.5797, 0.6811]","[12.0, 12.0, 12.0]","[2.5625, 2.5625, 3.0109, 3.5379]",5,-0.011172525474012289,0.24637489310838165,0.418,1,0.418,1,0.378,1,0.232,1
