DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,salvage_price,material_cost,mat_to_prod,num_material,poi_mean,num_product,recourse_cost,process_cost,total_budget,purchase_yield,order_cost,sales_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp,solver_dp
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",0,0.0026610236659454,0.1515065222600083,0.264,1,0.2,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",1,-0.014567411758969,0.1359672264154179,0.264,1,0.2,1,0.2,1,0.136,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",2,-0.0301074960128267,0.1456314590908404,0.264,1,0.264,1,0.232,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",3,-0.0187784052696378,0.1460686097747235,0.379,1,0.296,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",4,0.0138860068278859,0.1630708528291487,0.3,1,0.268,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",5,-0.0271225106878128,0.1411619383487419,0.232,1,0.232,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",6,-0.0028578255436146,0.1567452746737196,0.232,1,0.232,1,0.232,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",7,0.0010680184309829,0.1497949969590228,0.268,1,0.2,1,0.2,1,0.136,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",8,-0.0180471726572774,0.1352436747097648,0.2,1,0.2,1,0.2,1,0.136,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[0.5522, 0.5522, 0.6626, 0.7952]","[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]",4,"[15.0, 15.0, 15.0]",3,"[1.8891, 1.8891, 2.2669, 2.7203]","[0.1, 0.1, 0.1]",600,"[0.9, 0.9, 0.9, 0.9]",20,"[12.0, 12.0, 12.0]",9,-0.0013439512381193,0.1481308758844458,0.268,1,0.2,1,0.2,1,0.136,1,1,0
