DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,mat_to_prod,salvage_price,recourse_cost,total_budget,sales_price,process_cost,order_cost,poi_mean,purchase_yield,num_material,material_cost,num_product,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,0,0.06995051880780168,0.6733780930366084,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",245.71145217767116,"(51.1389, 80.4875, 107.2746, 92.9958)",361.3706315518125
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,1,0.11166669058928293,0.5164139694170584,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",220.46221884433783,"(75.5522, 85.579, 140.0529, 65.1916)",356.22374354041006
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,2,0.04793483156469675,0.6730532375313967,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",260.18745217767105,"(51.2229, 87.0856, 116.7824, 85.5842)",364.0868989343489
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,3,0.2025556500917879,0.543961181241266,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",290.78398551100446,"(77.6564, 121.4843, 116.8069, 62.6943)",345.0099797635539
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,4,0.029063595080718492,0.6722115674388704,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",253.85548551100447,"(53.9226, 81.1624, 85.5175, 51.1907)",366.415207997043
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,5,0.03939676809592156,0.5150823201045123,1.0,1,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",234.27835217767114,"(20.4567, 60.6118, 126.195, 44.5462)",365.1403143037702
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,6,0.19474269088210677,0.5421325077326447,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",226.7941855110044,"(73.718, 116.7429, 120.7855, 69.4358)",345.9739326952976
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,7,-0.0,0.666618626000394,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",229.0985855110044,"(53.9732, 77.2068, 89.8589, 54.6254)",370.00103724985115
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,8,0.044512151323366965,0.6718505717444038,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",278.6123855110044,"(50.3549, 80.2551, 112.8931, 90.0942)",364.50918485246336
1,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,9,0.013867542545136476,0.6701510151940863,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",231.64915217767106,"(53.5381, 78.4886, 87.6098, 54.8018)",368.29007755664026
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,0,0.1423889273879801,0.5516280996832797,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",247.48693365962998,"(77.4364, 119.8364, 117.8476, 66.7383)",395.997786737582
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,1,0.14456070357156972,0.5525589202242719,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",224.52413365962997,"(80.1018, 118.8287, 117.5876, 66.0853)",395.6251991027559
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,2,0.11791237745675452,0.7106046382072089,inf,0,inf,0,0.84,1,0.84,1,"(20, 20, 20, 20)",261.18533365963,"(59.4614, 80.9073, 86.1521, 52.1532)",400.1969578660285
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,3,0.11456555483149676,0.5387630535185337,inf,0,0.68,1,0.68,1,0.52,1,"(20, 20, 20, 20)",289.85213365962994,"(62.371, 84.4977, 158.106, 74.9633)",400.77113523087377
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,4,0.1503385011329243,0.5537479869293042,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",255.98053365963,"(50.1257, 95.4587, 165.6219, 82.8553)",394.63396623808256
2,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,5,0.09252713559147406,0.5352243374747556,inf,0,0.68,1,0.68,1,0.52,1,"(20, 20, 20, 20)",236.45333365963006,"(80.0224, 87.9199, 139.9277, 63.0365)",404.5520232256824
