DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,mat_to_prod,salvage_price,recourse_cost,total_budget,sales_price,process_cost,order_cost,poi_mean,purchase_yield,num_material,material_cost,num_product,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value,problem_dp,solver_dp
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,0,0.069950519,0.673378093,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",245.7114522,"(51.1389, 80.4875, 107.2746, 92.9958)",361.3706316,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,1,0.111666691,0.516413969,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",220.4622188,"(75.5522, 85.579, 140.0529, 65.1916)",356.2237435,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,2,0.047934832,0.673053238,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",260.1874522,"(51.2229, 87.0856, 116.7824, 85.5842)",364.0868989,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,3,0.20255565,0.543961181,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",290.7839855,"(77.6564, 121.4843, 116.8069, 62.6943)",345.0099798,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,4,0.029063595,0.672211567,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",253.8554855,"(53.9226, 81.1624, 85.5175, 51.1907)",366.415208,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,5,0.039396768,0.51508232,1,1,1,1,0.68,1,0.52,1,"(20, 20, 20, 20)",234.2783522,"(20.4567, 60.6118, 126.195, 44.5462)",365.1403143,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,6,0.194742691,0.542132508,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",226.7941855,"(73.718, 116.7429, 120.7855, 69.4358)",345.9739327,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,7,0,0.666618626,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",229.0985855,"(53.9732, 77.2068, 89.8589, 54.6254)",370.0010372,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,8,0.044512151,0.671850572,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",278.6123855,"(50.3549, 80.2551, 112.8931, 90.0942)",364.5091849,9a,0
1,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.5644, 0.5644, 0.5644, 0.5644]","[1.8141, 1.8141, 1.8141, 1.8141]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[1.075, 1.075, 1.075, 1.075]",3,9,0.013867543,0.670151015,0.84,1,0.84,1,0.84,1,0.68,1,"(20, 20, 20, 20)",231.6491522,"(53.5381, 78.4886, 87.6098, 54.8018)",368.2900776,9a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,0,0.142388927,0.5516281,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",247.4869337,"(77.4364, 119.8364, 117.8476, 66.7383)",395.9977867,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,1,0.144560704,0.55255892,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",224.5241337,"(80.1018, 118.8287, 117.5876, 66.0853)",395.6251991,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,2,0.117912377,0.710604638,inf,0,inf,0,0.84,1,0.84,1,"(20, 20, 20, 20)",261.1853337,"(59.4614, 80.9073, 86.1521, 52.1532)",400.1969579,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,3,0.114565555,0.538763054,inf,0,0.68,1,0.68,1,0.52,1,"(20, 20, 20, 20)",289.8521337,"(62.371, 84.4977, 158.106, 74.9633)",400.7711352,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,4,0.150338501,0.553747987,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",255.9805337,"(50.1257, 95.4587, 165.6219, 82.8553)",394.6339662,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,5,0.092527136,0.535224337,inf,0,0.68,1,0.68,1,0.52,1,"(20, 20, 20, 20)",236.4533337,"(80.0224, 87.9199, 139.9277, 63.0365)",404.5520232,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,6,0.144810599,0.552210394,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",229.7289337,"(77.266, 119.2175, 118.0668, 68.7034)",395.5823273,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,7,0.125679049,0.5561864,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",232.7681337,"(73.7912, 121.2459, 114.2143, 57.5334)",398.8645159,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,8,0.090859576,0.535205025,inf,0,0.68,1,0.68,1,0.52,1,"(20, 20, 20, 20)",279.1929337,"(75.8396, 87.5401, 140.4053, 66.2672)",404.838108,25a,0
2,TRUE,0.225,0.9,2.625,0.65,10,TRUE,TRUE,0.1,"[20, 20, 20, 20]",500,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[0.44, 0.4565, 0.4736, 0.4914]","[1.7, 1.7638, 1.8299, 1.8985]",1200,"[6, 12, 10]","[0.1, 0.1, 0.1]",0,"[20, 25, 15]","[1, 1, 1, 1]",4,"[0.8, 0.83, 0.8611, 0.8934]",3,9,0,0.535474184,1,1,0.68,1,0.68,1,0.52,1,"(20, 20, 20, 20)",235.6825337,"(45.5249, 80.8688, 120.5688, 60.6211)",420.4258812,25a,0
