DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,material_cost,mat_to_prod,salvage_price,order_cost,poi_mean,process_cost,purchase_yield,sales_price,total_budget,recourse_cost,num_product,num_material,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp,solver_dp
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,0,-0.0076655413437809,0.1435572740108485,0.264,1,0.2,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,1,-0.0137589707941752,0.1361840629502184,0.264,1,0.2,1,0.2,1,0.136,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,2,-0.0146975756362307,0.1508765446960988,0.296,1,0.264,1,0.232,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,3,-0.0471227605030087,0.1266888491787717,0.296,1,0.296,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,4,0.0059250742377421,0.1579927909406437,0.3,1,0.268,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,5,-0.0053118835649177,0.1575916683035649,0.232,1,0.232,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,6,-0.0310985301799116,0.1350222624738528,0.232,1,0.232,1,0.232,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,7,0.0353460485683168,0.1776132817127745,0.268,1,0.268,1,0.2,1,0.168,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,8,-0.0044597274653797,0.1448087833550584,0.296,1,0.2,1,0.2,1,0.136,1,1,0
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,9,-0.0195355860024051,0.1335160821890857,0.2,1,0.2,1,0.2,1,0.136,1,1,0
