DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,material_cost,mat_to_prod,salvage_price,order_cost,poi_mean,process_cost,purchase_yield,sales_price,total_budget,recourse_cost,num_product,num_material,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,0,-0.007665541343780938,0.14355727401084856,0.264,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,1,-0.013758970794175235,0.13618406295021843,0.264,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,2,-0.014697575636230737,0.15087654469609887,0.296,1,0.264,1,0.232,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,3,-0.047122760503008794,0.12668884917877177,0.296,1,0.296,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,4,0.0059250742377421894,0.15799279094064375,0.3,1,0.268,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,5,-0.005311883564917754,0.15759166830356497,0.232,1,0.232,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,6,-0.031098530179911626,0.13502226247385285,0.232,1,0.232,1,0.232,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,7,0.03534604856831683,0.17761328171277452,0.268,1,0.268,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,8,-0.00445972746537971,0.14480878335505845,0.296,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.1625, 1.1625, 1.395, 1.674]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5522, 0.5522, 0.6626, 0.7952]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[1.8891, 1.8891, 2.2669, 2.7203]",3,4,9,-0.019535586002405132,0.13351608218908573,0.2,1,0.2,1,0.2,1,0.136,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,0,-0.004269622369438144,0.17068180659628115,0.338,1,0.296,1,0.264,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,1,-0.009193975948469942,0.14226094372951367,0.232,1,0.232,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,2,-0.02063769240260914,0.1577957119402594,0.296,1,0.296,1,0.264,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,3,-0.03277000677225153,0.1462562342651456,0.296,1,0.264,1,0.232,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,4,-0.011896378139102631,0.15343678653447684,0.264,1,0.264,1,0.232,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,5,0.01255447796234515,0.16576030472870315,0.378,1,0.2,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,6,-0.0208696656865146,0.21132302166152236,0.264,1,0.264,1,0.232,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,7,0.017454241230337914,0.1662442115119534,0.232,1,0.232,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,8,0.00023770523294594308,0.16017142481887994,0.268,1,0.268,1,0.2,1,0.168,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.15, 1.15, 1.2506, 1.3601]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.496, 0.496, 0.5394, 0.5866]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.7672, 2.7672, 3.0093, 3.2726]",3,4,9,-0.011332807564410147,0.1510907146828951,0.3,1,0.2,1,0.2,1,0.168,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,0,-0.008850275642024431,0.25375838698724246,0.504,1,0.424,1,0.424,1,0.232,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,1,-0.014010930974348626,0.22196685359750956,0.419,1,0.379,1,0.338,1,0.232,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,2,-0.013445217491664658,0.21227755699298184,0.383,1,0.383,1,0.296,1,0.232,1
