DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
13,True,6,"(2.0, 2.0)",1000,2,-0.041065216456384356,-0.023109876286401265,0.012,1,0.012,1,0.012,1,0.012,1
13,True,6,"(2.0, 2.0)",1000,3,-0.04210133650476157,-0.027366219332226625,0.012,1,0.012,1,0.012,1,0.012,1
14,True,1,"(2.0, 2.0)",1000,0,-0.04210133650476157,-0.038679662386772444,0.002,1,0.002,1,0.002,1,0.002,1
14,True,1,"(2.0, 2.0)",1000,1,-0.04253004398955946,-0.039096878936821275,0.002,1,0.002,1,0.002,1,0.002,1
14,True,1,"(2.0, 2.0)",1000,2,-0.042239714234918194,-0.039588393715899874,0.002,1,0.002,1,0.002,1,0.002,1
14,True,1,"(2.0, 2.0)",1000,3,-0.04244303209756185,-0.039481308172399185,0.002,1,0.002,1,0.002,1,0.002,1
15,True,8,"(2.0, 2.0)",1000,0,-0.04078991876523259,-0.017982270784906045,0.016,1,0.016,1,0.016,1,0.016,1
15,True,8,"(2.0, 2.0)",1000,1,-0.04119104563875623,-0.008807588416161374,0.064,1,0.064,1,0.056,1,0.016,1
15,True,8,"(2.0, 2.0)",1000,2,-0.04019243996716762,-0.018459956930601155,0.016,1,0.016,1,0.016,1,0.016,1
15,True,8,"(2.0, 2.0)",1000,3,-0.041065216456384356,-0.0236135719473188,0.016,1,0.016,1,0.016,1,0.016,1
16,True,9,"(2.0, 2.0)",1000,0,-0.04078991876523259,-0.015131314787365225,0.018,1,0.018,1,0.018,1,0.018,1
16,True,9,"(2.0, 2.0)",1000,1,-0.04119104563875623,-0.018349603284010835,0.018,1,0.018,1,0.018,1,0.018,1
16,True,9,"(2.0, 2.0)",1000,2,-0.03457838924451099,-0.015173341779811337,0.018,1,0.018,1,0.018,1,0.018,1
16,True,9,"(2.0, 2.0)",1000,3,-0.041065216456384356,-0.007530905906495805,0.054,1,0.045,1,0.027,1,0.018,1
