Design #,lambda,mu,warmup (default),people (default)
0,2.3,10.0,20,50
1,1.3,3.25,20,50
2,1.5,4.94,20,50
3,1.8,6.63,20,50
4,4.0,9.44,20,50
5,5.0,3.81,20,50
6,3.5,2.69,20,50
7,3.3,8.88,20,50
8,3.0,5.5,20,50
9,3.8,1.0,20,50
10,4.8,7.75,20,50
11,4.5,6.06,20,50
12,4.3,4.38,20,50
13,2.0,1.56,20,50
14,1.0,7.19,20,50
15,2.5,8.31,20,50
16,2.8,2.13,20,50
