Design #,mu,lambda (default),warmup (default),people (default)
0,2.25,1.5,20,50
1,1.25,1.5,20,50
2,1.5,1.5,20,50
3,1.75,1.5,20,50
4,4.0,1.5,20,50
5,5.0,1.5,20,50
6,3.5,1.5,20,50
7,3.25,1.5,20,50
8,3.0,1.5,20,50
9,3.75,1.5,20,50
10,4.75,1.5,20,50
11,4.5,1.5,20,50
12,4.25,1.5,20,50
13,2.0,1.5,20,50
14,1.0,1.5,20,50
15,2.5,1.5,20,50
16,2.75,1.5,20,50
17,5.0,1.5,20,50
18,2.0,1.5,20,50
19,2.75,1.5,20,50
20,3.5,1.5,20,50
21,4.75,1.5,20,50
22,2.25,1.5,20,50
23,1.75,1.5,20,50
24,4.5,1.5,20,50
25,1.0,1.5,20,50
26,4.0,1.5,20,50
27,3.25,1.5,20,50
28,2.5,1.5,20,50
29,1.25,1.5,20,50
30,3.75,1.5,20,50
31,4.25,1.5,20,50
32,1.5,1.5,20,50
