Solver Name:,ASTRODF
Design Type:,NOLH
Number of Stacks:,1
Design Factors:,eta_1
Fixed Factors:,crn_across_solns,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction
Design #,eta_1,crn_across_solns (fixed),eta_2 (fixed),gamma_1 (fixed),gamma_2 (fixed),lambda_min (fixed),easy_solve (fixed),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,1.6,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
1,0.3,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
2,0.6,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
3,0.9,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
4,3.8,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
5,5.0,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
6,3.1,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
7,2.8,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
8,2.5,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
9,3.4,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
10,4.7,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
11,4.4,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
12,4.1,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
13,1.3,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
14,0.0,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
15,1.9,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
16,2.2,TRUE,0.8,1.5,0.5,4,TRUE,TRUE,0.1
