DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,10,"(2.0, 2.0)",500,0,-0.035938936340844815,0.01586548869903668,0.04,1,0.04,1,0.04,1,0.04,1
0,True,10,"(2.0, 2.0)",500,1,-0.09007075654119746,-0.02987917816401528,0.1,1,0.08,1,0.06,1,0.04,1
0,True,10,"(2.0, 2.0)",500,2,0.05960200141904893,0.1178930505882684,inf,0,0.08,1,0.08,1,0.04,1
0,True,10,"(2.0, 2.0)",500,3,-0.0975185259035673,-0.03247544070232463,0.04,1,0.04,1,0.04,1,0.04,1
0,True,10,"(2.0, 2.0)",500,4,-0.03903501998769647,0.0025263808118113906,0.04,1,0.04,1,0.04,1,0.04,1
1,True,6,"(2.0, 2.0)",500,0,-0.04075315425298346,-0.006550886021988721,0.024,1,0.024,1,0.024,1,0.024,1
1,True,6,"(2.0, 2.0)",500,1,-0.08765256088094364,-0.0486885294894248,0.024,1,0.024,1,0.024,1,0.024,1
1,True,6,"(2.0, 2.0)",500,2,0.0567830404264145,0.08455376541574336,inf,0,0.036,1,0.024,1,0.024,1
1,True,6,"(2.0, 2.0)",500,3,-0.09091182958706588,-0.05764205794733192,0.036,1,0.036,1,0.036,1,0.024,1
1,True,6,"(2.0, 2.0)",500,4,-0.043473731263639986,-0.007515093524158611,0.024,1,0.024,1,0.024,1,0.024,1
2,True,7,"(2.0, 2.0)",500,0,-0.04075315425298346,-0.0008505079834895974,0.028,1,0.028,1,0.028,1,0.028,1
2,True,7,"(2.0, 2.0)",500,1,-0.08698816928014787,-0.0377292185271204,0.028,1,0.028,1,0.028,1,0.028,1
2,True,7,"(2.0, 2.0)",500,2,0.0567830404264145,0.09214007834629183,inf,0,0.07,1,0.07,1,0.028,1
