DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,23,"(2.0, 2.0)",1000,0,-0.035938936340844815,0.0236361524550189,0.046,1,0.046,1,0.046,1,0.046,1
0,True,23,"(2.0, 2.0)",1000,1,-0.09007075654119746,-0.03354875866615621,0.046,1,0.046,1,0.046,1,0.046,1
0,True,23,"(2.0, 2.0)",1000,2,0.06447705034614104,0.13895048135315824,inf,0,0.069,1,0.069,1,0.069,1
0,True,23,"(2.0, 2.0)",1000,3,-0.09469956491093287,-0.04001338118651992,0.069,1,0.046,1,0.046,1,0.046,1
0,True,23,"(2.0, 2.0)",1000,4,-0.043599447034447014,0.037496452871998834,0.138,1,0.138,1,0.138,1,0.046,1
1,True,13,"(2.0, 2.0)",1000,0,-0.04075315425298346,-0.003700697002739164,0.026,1,0.026,1,0.026,1,0.026,1
1,True,13,"(2.0, 2.0)",1000,1,-0.08765256088094364,-0.049227422220783655,0.026,1,0.026,1,0.026,1,0.026,1
1,True,13,"(2.0, 2.0)",1000,2,0.0567830404264145,0.09186047325517979,inf,0,0.026,1,0.026,1,0.026,1
1,True,13,"(2.0, 2.0)",1000,3,-0.09091182958706588,-0.05173217585480192,0.052,1,0.026,1,0.026,1,0.026,1
1,True,13,"(2.0, 2.0)",1000,4,-0.04260174141982239,0.009161534518144393,0.039,1,0.039,1,0.039,1,0.039,1
2,True,15,"(2.0, 2.0)",1000,0,-0.04075315425298346,0.0019996810357599606,0.03,1,0.03,1,0.03,1,0.03,1
2,True,15,"(2.0, 2.0)",1000,1,-0.08277751195385154,-0.036169486041187554,0.045,1,0.03,1,0.03,1,0.03,1
2,True,15,"(2.0, 2.0)",1000,2,0.0567830404264145,0.08740789515003211,inf,0,0.03,1,0.03,1,0.03,1
2,True,15,"(2.0, 2.0)",1000,3,-0.0904158984830395,-0.052010853977067825,0.045,1,0.045,1,0.03,1,0.03,1
2,True,15,"(2.0, 2.0)",1000,4,-0.0369927507179456,-0.005862711770372252,0.03,1,0.03,1,0.03,1,0.03,1
3,True,18,"(2.0, 2.0)",1000,0,-0.04075315425298346,0.010550248093508642,0.036,1,0.036,1,0.036,1,0.036,1
3,True,18,"(2.0, 2.0)",1000,1,-0.07782369178023109,-0.026882495408231885,0.036,1,0.036,1,0.036,1,0.036,1
3,True,18,"(2.0, 2.0)",1000,2,0.05960200141904893,0.1036204303316775,inf,0,0.09,1,0.054,1,0.036,1
3,True,18,"(2.0, 2.0)",1000,3,-0.0975185259035673,-0.05075061976596395,0.036,1,0.036,1,0.036,1,0.036,1
3,True,18,"(2.0, 2.0)",1000,4,-0.0369927507179456,0.014801952731484283,0.054,1,0.054,1,0.054,1,0.054,1
4,True,40,"(2.0, 2.0)",1000,0,-0.021747340842459054,0.06426393081930559,0.08,1,0.08,1,0.08,1,0.08,1
4,True,40,"(2.0, 2.0)",1000,1,-0.08525653862905883,0.007190248156903195,0.08,1,0.08,1,0.08,1,0.08,1
4,True,40,"(2.0, 2.0)",1000,2,0.0571838057587951,0.18073786812366782,inf,0,0.24,1,0.24,1,0.08,1
4,True,40,"(2.0, 2.0)",1000,3,-0.08487069581022033,0.049553748403363844,0.24,1,0.24,1,0.08,1,0.08,1
4,True,40,"(2.0, 2.0)",1000,4,-0.035905437114720475,0.06349212809840063,0.12,1,0.08,1,0.08,1,0.08,1
5,True,50,"(2.0, 2.0)",1000,0,-0.021747340842459054,0.08576674873474675,0.1,1,0.1,1,0.1,1,0.1,1
5,True,50,"(2.0, 2.0)",1000,1,-0.08525653862905883,0.07208143753364711,0.25,1,0.2,1,0.2,1,0.1,1
5,True,50,"(2.0, 2.0)",1000,2,0.0571838057587951,0.20735757812251063,inf,0,0.2,1,0.2,1,0.15,1
5,True,50,"(2.0, 2.0)",1000,3,-0.048550916755276036,0.08209004835527207,0.1,1,0.1,1,0.1,1,0.1,1
5,True,50,"(2.0, 2.0)",1000,4,-0.030951616941100043,0.08717765162806872,0.2,1,0.1,1,0.1,1,0.1,1
6,True,35,"(2.0, 2.0)",1000,0,-0.021747340842459054,0.05351252186158502,0.07,1,0.07,1,0.07,1,0.07,1
6,True,35,"(2.0, 2.0)",1000,1,-0.09007075654119746,-0.008068450451595585,0.07,1,0.07,1,0.07,1,0.07,1
6,True,35,"(2.0, 2.0)",1000,2,0.06943087051976148,0.168512976348325,inf,0,0.91,1,0.07,1,0.07,1
6,True,35,"(2.0, 2.0)",1000,3,-0.08124974184475936,0.01959783797082168,0.175,1,0.07,1,0.07,1,0.07,1
6,True,35,"(2.0, 2.0)",1000,4,-0.04011609444101681,0.04528510564864126,0.105,1,0.105,1,0.105,1,0.07,1
7,True,33,"(2.0, 2.0)",1000,0,-0.021747340842459054,0.049211958278496774,0.066,1,0.066,1,0.066,1,0.066,1
7,True,33,"(2.0, 2.0)",1000,1,-0.09007075654119746,0.0010819926241617747,0.066,1,0.066,1,0.066,1,0.066,1
7,True,33,"(2.0, 2.0)",1000,2,0.06943087051976148,0.1890009537821034,inf,0,0.726,1,0.132,1,0.099,1
7,True,33,"(2.0, 2.0)",1000,3,-0.08982451598384077,0.014325029273164976,0.099,1,0.099,1,0.066,1,0.066,1
7,True,33,"(2.0, 2.0)",1000,4,-0.04078048604181258,0.06978413005183895,0.099,1,0.099,1,0.099,1,0.066,1
8,True,30,"(2.0, 2.0)",1000,0,-0.035938936340844815,0.041767701218977424,0.06,1,0.06,1,0.06,1,0.06,1
8,True,30,"(2.0, 2.0)",1000,1,-0.09007075654119746,0.0030806066366004317,0.12,1,0.09,1,0.09,1,0.06,1
8,True,30,"(2.0, 2.0)",1000,2,0.06943087051976148,0.14608368913624198,inf,0,0.48,1,0.09,1,0.06,1
8,True,30,"(2.0, 2.0)",1000,3,-0.08982451598384077,-0.01158995221610798,0.09,1,0.09,1,0.09,1,0.06,1
8,True,30,"(2.0, 2.0)",1000,4,-0.04078048604181258,0.021925455845006523,0.06,1,0.06,1,0.06,1,0.06,1
9,True,38,"(2.0, 2.0)",1000,0,-0.021747340842459054,0.059963367236217355,0.076,1,0.076,1,0.076,1,0.076,1
9,True,38,"(2.0, 2.0)",1000,1,-0.08525653862905883,0.01657114570283426,0.152,1,0.152,1,0.076,1,0.076,1
9,True,38,"(2.0, 2.0)",1000,2,0.0571838057587951,0.12883783652112668,inf,0,0.076,1,0.076,1,0.076,1
9,True,38,"(2.0, 2.0)",1000,3,-0.08487069581022033,0.0009324118391808578,0.076,1,0.076,1,0.076,1,0.076,1
9,True,38,"(2.0, 2.0)",1000,4,-0.035905437114720475,0.07662579919281298,0.19,1,0.19,1,0.076,1,0.076,1
10,True,48,"(2.0, 2.0)",1000,0,-0.021747340842459054,0.08146618515165852,0.096,1,0.096,1,0.096,1,0.096,1
10,True,48,"(2.0, 2.0)",1000,1,-0.08525653862905883,0.06904171816287435,0.192,1,0.144,1,0.144,1,0.144,1
10,True,48,"(2.0, 2.0)",1000,2,0.0571838057587951,0.1596496605791266,inf,0,0.096,1,0.096,1,0.096,1
10,True,48,"(2.0, 2.0)",1000,3,-0.048550916755276036,0.10192545188936453,0.192,1,0.192,1,0.192,1,0.096,1
10,True,48,"(2.0, 2.0)",1000,4,-0.030951616941100043,0.06801973828524556,0.096,1,0.096,1,0.096,1,0.096,1
11,True,45,"(2.0, 2.0)",1000,0,-0.021747340842459054,0.07501533977702617,0.09,1,0.09,1,0.09,1,0.09,1
11,True,45,"(2.0, 2.0)",1000,1,-0.08525653862905883,0.020895106769294194,0.09,1,0.09,1,0.09,1,0.09,1
11,True,45,"(2.0, 2.0)",1000,2,0.0571838057587951,0.1761977627261086,inf,0,0.18,1,0.18,1,0.135,1
11,True,45,"(2.0, 2.0)",1000,3,-0.08487069581022033,0.0439956730841988,0.09,1,0.09,1,0.09,1,0.09,1
11,True,45,"(2.0, 2.0)",1000,4,-0.027330662975639075,0.0997681496759977,0.09,1,0.09,1,0.09,1,0.09,1
12,True,43,"(2.0, 2.0)",1000,0,-0.021747340842459054,0.07071477619393793,0.086,1,0.086,1,0.086,1,0.086,1
12,True,43,"(2.0, 2.0)",1000,1,-0.08525653862905883,0.03329632525889218,0.129,1,0.129,1,0.129,1,0.086,1
12,True,43,"(2.0, 2.0)",1000,2,0.0571838057587951,0.13993742106141815,inf,0,0.086,1,0.086,1,0.086,1
12,True,43,"(2.0, 2.0)",1000,3,-0.08487069581022033,0.06916978763507095,0.129,1,0.129,1,0.129,1,0.086,1
12,True,43,"(2.0, 2.0)",1000,4,-0.027760114458626244,0.11838748102301647,0.301,1,0.258,1,0.129,1,0.129,1
13,True,20,"(2.0, 2.0)",1000,0,-0.035938936340844815,0.01586548869903668,0.04,1,0.04,1,0.04,1,0.04,1
13,True,20,"(2.0, 2.0)",1000,1,-0.09007075654119746,-0.02987917816401528,0.1,1,0.08,1,0.06,1,0.04,1
13,True,20,"(2.0, 2.0)",1000,2,0.05960200141904893,0.1178930505882684,inf,0,0.08,1,0.08,1,0.04,1
13,True,20,"(2.0, 2.0)",1000,3,-0.0975185259035673,-0.03247544070232463,0.04,1,0.04,1,0.04,1,0.04,1
13,True,20,"(2.0, 2.0)",1000,4,-0.03903501998769647,0.0025263808118113906,0.04,1,0.04,1,0.04,1,0.04,1
14,True,10,"(2.0, 2.0)",1000,0,-0.04075315425298346,-0.012251264060487845,0.02,1,0.02,1,0.02,1,0.02,1
14,True,10,"(2.0, 2.0)",1000,1,-0.09047152187357807,-0.06028913993542262,0.03,1,0.03,1,0.03,1,0.02,1
14,True,10,"(2.0, 2.0)",1000,2,0.06338973674291591,0.08625422019311585,inf,0,0.03,1,0.03,1,0.02,1
14,True,10,"(2.0, 2.0)",1000,3,-0.09652082028894267,-0.05984567371722154,0.03,1,0.03,1,0.02,1,0.02,1
14,True,10,"(2.0, 2.0)",1000,4,-0.043473731263639986,-0.013202288294134914,0.07,1,0.05,1,0.03,1,0.02,1
15,True,25,"(2.0, 2.0)",1000,0,-0.035938936340844815,0.02881659495900705,0.05,1,0.05,1,0.05,1,0.05,1
15,True,25,"(2.0, 2.0)",1000,1,-0.09007075654119746,-0.022689601248320927,0.075,1,0.075,1,0.05,1,0.05,1
15,True,25,"(2.0, 2.0)",1000,2,0.06447705034614104,0.11816520513050001,inf,0,0.1,1,0.05,1,0.05,1
15,True,25,"(2.0, 2.0)",1000,3,-0.09469956491093287,0.004944311548403343,0.1,1,0.075,1,0.075,1,0.075,1
15,True,25,"(2.0, 2.0)",1000,4,-0.043599447034447014,0.026292708482903375,0.05,1,0.05,1,0.05,1,0.05,1
16,True,28,"(2.0, 2.0)",1000,0,-0.035938936340844815,0.03658725871498928,0.056,1,0.056,1,0.056,1,0.056,1
16,True,28,"(2.0, 2.0)",1000,1,-0.09007075654119746,-0.02044315182981038,0.056,1,0.056,1,0.056,1,0.056,1
16,True,28,"(2.0, 2.0)",1000,2,0.06943087051976148,0.14901712711265602,inf,0,0.336,1,0.056,1,0.056,1
16,True,28,"(2.0, 2.0)",1000,3,-0.0940351733101371,-0.004109996918312663,0.112,1,0.084,1,0.084,1,0.056,1
16,True,28,"(2.0, 2.0)",1000,4,-0.04078048604181258,0.029669644152571055,0.084,1,0.084,1,0.084,1,0.056,1
