DesignPt#,crn_across_solns,sample_size,initial_solution,budget,cost,lambda,warmup,people,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,4,"(5.0,)",1000,0.1,1.5,20,50,0,0.04583399432158681,0.05268369051630254,0.016,1,0.008,1,0.008,1,0.008,1
0,True,4,"(5.0,)",1000,0.1,1.5,20,50,1,0.0048956366825020125,0.020025745887805313,0.068,1,0.008,1,0.008,1,0.008,1
1,True,2,"(5.0,)",1000,0.1,1.5,20,50,0,0.04053838438930896,0.04510198178197652,0.008,1,0.004,1,0.004,1,0.004,1
1,True,2,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0016925036758960303,0.008857175993677588,0.114,1,0.004,1,0.004,1,0.004,1
2,True,2,"(5.0,)",1000,0.1,1.5,20,50,0,0.04053838438930896,0.04510198178197652,0.008,1,0.004,1,0.004,1,0.004,1
2,True,2,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0016925036758960303,0.008857175993677588,0.114,1,0.004,1,0.004,1,0.004,1
3,True,3,"(5.0,)",1000,0.1,1.5,20,50,0,0.04070702631003063,0.04737332467922556,0.012,1,0.006,1,0.006,1,0.006,1
3,True,3,"(5.0,)",1000,0.1,1.5,20,50,1,0.0015696477196713572,0.01371627414643272,0.015,1,0.015,1,0.015,1,0.015,1
4,True,8,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.058039112166023685,0.032,1,0.016,1,0.016,1,0.016,1
4,True,8,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0008086589937396878,0.030571912635920268,0.032,1,0.016,1,0.016,1,0.016,1
5,True,10,"(5.0,)",1000,0.1,1.5,20,50,0,0.03989470688309745,0.061892659308155476,0.04,1,0.02,1,0.02,1,0.02,1
5,True,10,"(5.0,)",1000,0.1,1.5,20,50,1,-0.001956036839086649,0.10566316299169198,0.29,1,0.08,1,0.08,1,0.07,1
6,True,7,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.05605545908007447,0.028,1,0.014,1,0.014,1,0.014,1
6,True,7,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0008086589937396878,0.09330847550845771,0.14,1,0.091,1,0.091,1,0.091,1
7,True,6,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.05407180599412526,0.024,1,0.012,1,0.012,1,0.012,1
7,True,6,"(5.0,)",1000,0.1,1.5,20,50,1,-0.002230908921013395,0.02568103975164322,0.06,1,0.06,1,0.06,1,0.012,1
8,True,6,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.05407180599412526,0.024,1,0.012,1,0.012,1,0.012,1
8,True,6,"(5.0,)",1000,0.1,1.5,20,50,1,-0.002230908921013395,0.02568103975164322,0.06,1,0.06,1,0.06,1,0.012,1
9,True,7,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.05605545908007447,0.028,1,0.014,1,0.014,1,0.014,1
9,True,7,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0008086589937396878,0.09330847550845771,0.14,1,0.091,1,0.091,1,0.091,1
10,True,9,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.06002276525197289,0.036,1,0.018,1,0.018,1,0.018,1
10,True,9,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0018106029462913423,0.0838639572960653,0.153,1,0.135,1,0.063,1,0.063,1
11,True,9,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.06002276525197289,0.036,1,0.018,1,0.018,1,0.018,1
11,True,9,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0018106029462913423,0.0838639572960653,0.153,1,0.135,1,0.063,1,0.063,1
12,True,8,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.058039112166023685,0.032,1,0.016,1,0.016,1,0.016,1
12,True,8,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0008086589937396878,0.030571912635920268,0.032,1,0.016,1,0.016,1,0.016,1
13,True,3,"(5.0,)",1000,0.1,1.5,20,50,0,0.04070702631003063,0.04737332467922556,0.012,1,0.006,1,0.006,1,0.006,1
13,True,3,"(5.0,)",1000,0.1,1.5,20,50,1,0.0015696477196713572,0.01371627414643272,0.015,1,0.015,1,0.015,1,0.015,1
14,True,1,"(5.0,)",1000,0.1,1.5,20,50,0,0.04161973778423543,0.043819049550308915,0.004,1,0.002,1,0.002,1,0.002,1
14,True,1,"(5.0,)",1000,0.1,1.5,20,50,1,-0.0013720242924881883,0.004701883788798257,0.013,1,0.013,1,0.004,1,0.004,1
15,True,4,"(5.0,)",1000,0.1,1.5,20,50,0,0.04583399432158681,0.05268369051630254,0.016,1,0.008,1,0.008,1,0.008,1
15,True,4,"(5.0,)",1000,0.1,1.5,20,50,1,0.0048956366825020125,0.020025745887805313,0.068,1,0.008,1,0.008,1,0.008,1
16,True,5,"(5.0,)",1000,0.1,1.5,20,50,0,0.042169887478430014,0.05208815290817605,0.02,1,0.01,1,0.01,1,0.01,1
16,True,5,"(5.0,)",1000,0.1,1.5,20,50,1,9.889618347101988e-05,0.010784524024593433,0.02,1,0.01,1,0.01,1,0.01,1
