DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
16,True,0.55,0.38,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244343,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
17,False,0.45,0.9,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
17,False,0.45,0.9,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
18,False,0.25,0.45,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
18,False,0.25,0.45,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
19,False,0.3,0.56,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
19,False,0.3,0.56,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
20,False,0.35,0.68,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
20,False,0.35,0.68,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
21,False,0.8,0.86,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
21,False,0.8,0.86,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
22,False,1.0,0.49,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
22,False,1.0,0.49,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
23,False,0.7,0.41,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
23,False,0.7,0.41,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
24,False,0.65,0.83,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
24,False,0.65,0.83,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
25,False,0.6,0.6,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.01744645889249571,0.05092546743118706,0.084,1,0.084,1,0.084,1,0.084,1
25,False,0.6,0.6,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07929065912975401,-0.0024797885358466137,0.084,1,0.084,1,0.084,1,0.084,1
