DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.45,0.9,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.028867989678566346,0.04355692145443327,0.084,1,0.084,1,0.084,1,0.084,1
0,True,0.45,0.9,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0782300826970479,-0.0016587557504958717,0.084,1,0.084,1,0.084,1,0.084,1
0,True,0.45,0.9,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,2,0.06915732188861931,0.13334810684997528,inf,0,0.084,1,0.084,1,0.084,1
0,True,0.45,0.9,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,3,-0.08528344401816526,-0.008119634720639396,0.084,1,0.084,1,0.084,1,0.084,1
0,True,0.45,0.9,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,4,-0.03131572330347793,0.041314797454014215,0.084,1,0.084,1,0.084,1,0.084,1
1,True,0.25,0.45,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.028867989678566346,0.04355692145443327,0.084,1,0.084,1,0.084,1,0.084,1
1,True,0.25,0.45,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0782300826970479,-0.0016587557504958717,0.084,1,0.084,1,0.084,1,0.084,1
1,True,0.25,0.45,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,2,0.06915732188861931,0.13334810684997528,inf,0,0.084,1,0.084,1,0.084,1
1,True,0.25,0.45,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,3,-0.08528344401816526,-0.008119634720639396,0.084,1,0.084,1,0.084,1,0.084,1
1,True,0.25,0.45,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,4,-0.03137003323181752,0.04131479745401422,0.084,1,0.084,1,0.084,1,0.084,1
2,True,0.3,0.56,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.028867989678566346,0.04355692145443327,0.084,1,0.084,1,0.084,1,0.084,1
2,True,0.3,0.56,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0782300826970479,-0.0016587557504958717,0.084,1,0.084,1,0.084,1,0.084,1
2,True,0.3,0.56,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,2,0.06915732188861931,0.13334810684997528,inf,0,0.084,1,0.084,1,0.084,1
2,True,0.3,0.56,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,3,-0.08528344401816526,-0.008119634720639396,0.084,1,0.084,1,0.084,1,0.084,1
2,True,0.3,0.56,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,4,-0.03137003323181752,0.04131479745401422,0.084,1,0.084,1,0.084,1,0.084,1
3,True,0.35,0.68,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.028867989678566346,0.04355692145443327,0.084,1,0.084,1,0.084,1,0.084,1
3,True,0.35,0.68,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0782300826970479,-0.0016587557504958717,0.084,1,0.084,1,0.084,1,0.084,1
3,True,0.35,0.68,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,2,0.06915732188861931,0.13334810684997528,inf,0,0.084,1,0.084,1,0.084,1
3,True,0.35,0.68,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,3,-0.08528344401816526,-0.008119634720639396,0.084,1,0.084,1,0.084,1,0.084,1
3,True,0.35,0.68,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,4,-0.03131572330347793,0.041314797454014215,0.084,1,0.084,1,0.084,1,0.084,1
4,True,0.8,0.86,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.028867989678566346,0.04355692145443327,0.084,1,0.084,1,0.084,1,0.084,1
4,True,0.8,0.86,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0782300826970479,-0.0016587557504958717,0.084,1,0.084,1,0.084,1,0.084,1
4,True,0.8,0.86,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,2,0.06915732188861931,0.13334810684997528,inf,0,0.084,1,0.084,1,0.084,1
4,True,0.8,0.86,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,3,-0.08528344401816526,-0.008119634720639396,0.084,1,0.084,1,0.084,1,0.084,1
4,True,0.8,0.86,1.5,0.5,7,True,False,0.1,"(2.0, 2.0)",500,4,-0.03131572330347791,0.04131479745401422,0.084,1,0.084,1,0.084,1,0.084,1
