DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
9,True,15,"(2.0, 2.0)",500,1,-0.09007075654119746,0.0030806066366004317,0.12,1,0.09,1,0.09,1,0.06,1
9,True,15,"(2.0, 2.0)",500,2,0.06943087051976148,0.14608368913624198,inf,0,0.48,1,0.09,1,0.06,1
9,True,15,"(2.0, 2.0)",500,3,-0.08982451598384077,-0.01158995221610798,0.09,1,0.09,1,0.09,1,0.06,1
9,True,15,"(2.0, 2.0)",500,4,-0.04078048604181258,0.021925455845006523,0.06,1,0.06,1,0.06,1,0.06,1
10,True,19,"(2.0, 2.0)",500,0,-0.021747340842459054,0.059963367236217355,0.076,1,0.076,1,0.076,1,0.076,1
10,True,19,"(2.0, 2.0)",500,1,-0.08525653862905883,0.01657114570283426,0.152,1,0.152,1,0.076,1,0.076,1
10,True,19,"(2.0, 2.0)",500,2,0.0571838057587951,0.12883783652112668,inf,0,0.076,1,0.076,1,0.076,1
10,True,19,"(2.0, 2.0)",500,3,-0.08487069581022033,0.0009324118391808578,0.076,1,0.076,1,0.076,1,0.076,1
10,True,19,"(2.0, 2.0)",500,4,-0.035905437114720475,0.07662579919281298,0.19,1,0.19,1,0.076,1,0.076,1
11,True,18,"(2.0, 2.0)",500,0,-0.021747340842459054,0.05566280365312911,0.072,1,0.072,1,0.072,1,0.072,1
11,True,18,"(2.0, 2.0)",500,1,-0.09007075654119746,0.002364685620377796,0.108,1,0.108,1,0.072,1,0.072,1
11,True,18,"(2.0, 2.0)",500,2,0.09640763378178566,0.1792475102569149,inf,0,0.108,1,0.108,1,0.108,1
11,True,18,"(2.0, 2.0)",500,3,-0.08124974184475936,0.022347582679773582,0.072,1,0.072,1,0.072,1,0.072,1
11,True,18,"(2.0, 2.0)",500,4,-0.04011609444101681,0.08599729478288891,0.108,1,0.108,1,0.108,1,0.108,1
12,True,17,"(2.0, 2.0)",500,0,-0.021747340842459054,0.0513622400700409,0.068,1,0.068,1,0.068,1,0.068,1
12,True,17,"(2.0, 2.0)",500,1,-0.09007075654119746,-0.012181226689103618,0.068,1,0.068,1,0.068,1,0.068,1
12,True,17,"(2.0, 2.0)",500,2,0.06943087051976148,0.18382565134929335,inf,0,0.816,1,0.204,1,0.068,1
12,True,17,"(2.0, 2.0)",500,3,-0.08167919332774654,0.002659838756631658,0.068,1,0.068,1,0.068,1,0.068,1
12,True,17,"(2.0, 2.0)",500,4,-0.04011609444101681,0.032902397566477545,0.068,1,0.068,1,0.068,1,0.068,1
13,True,9,"(2.0, 2.0)",500,0,-0.04075315425298346,0.010550248093508642,0.036,1,0.036,1,0.036,1,0.036,1
13,True,9,"(2.0, 2.0)",500,1,-0.07782369178023109,-0.026882495408231885,0.036,1,0.036,1,0.036,1,0.036,1
13,True,9,"(2.0, 2.0)",500,2,0.05960200141904893,0.1036204303316775,inf,0,0.09,1,0.054,1,0.036,1
13,True,9,"(2.0, 2.0)",500,3,-0.0975185259035673,-0.05075061976596395,0.036,1,0.036,1,0.036,1,0.036,1
