0.2	0.9	2.6	0.4
0.1	0.6	2.8	0.6
0.2	0.7	1.1	0.3
0.2	0.8	1.6	0.9
0.4	0.9	1.9	0.2
0.5	0.6	1.8	0.8
0.4	0.6	3.0	0.4
0.3	0.9	2.5	0.9
0.3	0.7	2.0	0.5
0.4	0.5	1.4	0.6
0.5	0.8	1.3	0.5
0.5	0.7	2.9	0.7
0.4	0.7	2.4	0.1
0.2	0.5	2.1	0.8
0.1	0.8	2.3	0.3
0.3	0.8	1.0	0.7
0.3	0.6	1.5	0.2
0.5	0.8	1.8	0.3
0.2	0.9	2.1	0.1
0.3	0.5	1.5	0.6
0.4	0.6	3.0	0.6
0.5	0.7	1.3	0.4
0.2	0.7	2.6	0.2
0.2	0.9	1.6	0.8
0.5	0.8	2.9	0.8
0.1	0.6	2.3	0.7
0.4	0.6	1.9	0.9
0.3	0.9	2.5	0.4
0.3	0.8	1.0	0.5
0.1	0.7	2.8	0.7
0.4	0.8	1.4	0.9
0.4	0.5	2.4	0.2
0.2	0.6	1.1	0.3
0.4	0.7	1.5	0.9
0.5	0.7	1.0	0.4
0.1	0.6	2.3	0.8
0.2	0.9	2.1	0.2
0.3	0.6	1.6	0.1
0.3	0.8	1.1	0.7
0.5	0.6	2.8	0.5
0.4	0.9	2.6	0.6
0.2	0.8	2.5	0.2
0.2	0.7	3.0	0.7
0.5	0.8	1.8	0.3
0.4	0.5	1.9	0.8
0.3	0.9	2.4	0.9
0.4	0.6	2.9	0.3
0.1	0.8	1.3	0.6
0.2	0.5	1.4	0.4
