0.225	0.9	2.625	0.65
0.125	0.6	2.75	0.725
0.15	0.675	1.125	0.6
0.175	0.75	1.625	0.9
0.4	0.875	1.875	0.55
0.5	0.625	1.75	0.825
0.35	0.575	3.0	0.625
0.325	0.85	2.5	0.875
0.3	0.7	2.0	0.7
0.375	0.5	1.375	0.75
0.475	0.8	1.25	0.675
0.45	0.725	2.875	0.8
0.425	0.65	2.375	0.5
0.2	0.525	2.125	0.85
0.1	0.775	2.25	0.575
0.25	0.825	1.0	0.775
0.275	0.55	1.5	0.525
0.5	0.825	1.75	0.6
0.2	0.85	2.125	0.5
0.275	0.525	1.5	0.75
0.35	0.625	3.0	0.725
0.475	0.675	1.25	0.625
0.225	0.65	2.625	0.525
0.175	0.9	1.625	0.85
0.45	0.8	2.875	0.825
0.1	0.575	2.25	0.8
0.4	0.55	1.875	0.9
0.325	0.875	2.5	0.65
0.25	0.775	1.0	0.675
0.125	0.725	2.75	0.775
0.375	0.75	1.375	0.875
0.425	0.5	2.375	0.55
0.15	0.6	1.125	0.575
0.425	0.65	1.5	0.875
0.45	0.725	1.0	0.625
0.125	0.6	2.25	0.825
0.225	0.9	2.125	0.55
0.275	0.55	1.625	0.5
0.25	0.825	1.125	0.8
0.5	0.625	2.75	0.675
0.4	0.875	2.625	0.75
0.175	0.75	2.5	0.525
0.15	0.675	3.0	0.775
0.475	0.8	1.75	0.575
0.375	0.5	1.875	0.85
0.325	0.85	2.375	0.9
0.35	0.575	2.875	0.6
0.1	0.775	1.25	0.725
0.2	0.525	1.375	0.65
