DesignPt#,crn_across_solns,sample_size,initial_solution,budget,arc_costs,num_nodes,arcs,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
7,True,183,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.7401369758602109,0.732,1,0.732,1,0.732,1,0.732,1
7,True,183,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
8,True,163,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.6625659238781844,0.652,1,0.652,1,0.652,1,0.652,1
8,True,163,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.23910663709731325,0.8502051279033129,inf,0,inf,0,inf,0,0.978,1
9,True,223,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.8952790798242641,0.892,1,0.892,1,0.892,1,0.892,1
9,True,223,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
10,True,304,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,1.0,1.0,inf,0,inf,0,inf,0,inf,0
10,True,304,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
11,True,284,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,1.0,1.0,inf,0,inf,0,inf,0,inf,0
11,True,284,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
12,True,264,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,1.0,1.0,inf,0,inf,0,inf,0,inf,0
12,True,264,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
13,True,83,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.35228171595007796,0.332,1,0.332,1,0.332,1,0.332,1
13,True,83,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.14930936431822303,0.5701491284969362,inf,0,inf,0,0.664,1,0.664,1
14,True,2,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.0,0.0350827704004035,0.008,1,0.008,1,0.008,1,0.008,1
14,True,2,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.07308401275675783,0.11354105097871907,inf,0,0.312,1,0.032,1,0.008,1
15,True,123,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.5074238199141311,0.492,1,0.492,1,0.492,1,0.492,1
15,True,123,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.23910663709731325,0.6134661716454352,inf,0,inf,0,inf,0,0.492,1
16,True,143,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",0,0.030361850224667603,0.5849948718961577,0.572,1,0.572,1,0.572,1,0.572,1
16,True,143,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",500,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,"[(1, 2), (1, 3), (2, 3), (2, 4), (2, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",1,0.23910663709731325,0.7752237179884662,inf,0,inf,0,inf,0,0.858,1
