DesignPt#,crn_across_solns,sample_size,initial_solution,budget,sales_price,purchase_price,Burr_k,salvage_price,Burr_c,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
7,True,10,"(0.0,)",1000,9.0,3.25,20.0,1.0,2.0,3,0.5690685827891065,0.6027415167092647,inf,0,inf,0,inf,0,inf,0
7,True,10,"(0.0,)",1000,9.0,3.25,20.0,1.0,2.0,4,0.3798589236184666,0.40377213052783156,inf,0,inf,0,inf,0,0.02,1
8,True,10,"(0.0,)",1000,9.0,3.0,20.0,1.0,2.0,0,0.2668000597901012,0.3150934067294092,inf,0,inf,0,inf,0,0.05,1
8,True,10,"(0.0,)",1000,9.0,3.0,20.0,1.0,2.0,1,0.8165776218415712,0.8234520340322264,inf,0,inf,0,inf,0,0.03,1
8,True,10,"(0.0,)",1000,9.0,3.0,20.0,1.0,2.0,2,-0.32175632011547434,-0.23605119366597457,0.04,1,0.04,1,0.04,1,0.04,1
8,True,10,"(0.0,)",1000,9.0,3.0,20.0,1.0,2.0,3,0.5651435984209442,0.5868433270409846,inf,0,inf,0,inf,0,inf,0
8,True,10,"(0.0,)",1000,9.0,3.0,20.0,1.0,2.0,4,0.3479675478076607,0.37302727240756395,inf,0,inf,0,inf,0,0.02,1
9,True,10,"(0.0,)",1000,9.0,3.75,20.0,1.0,2.0,0,0.2886571070178048,0.40530126161233093,inf,0,inf,0,inf,0,0.05,1
9,True,10,"(0.0,)",1000,9.0,3.75,20.0,1.0,2.0,1,0.7249732250984283,0.7043118862706804,inf,0,inf,0,inf,0,inf,0
9,True,10,"(0.0,)",1000,9.0,3.75,20.0,1.0,2.0,2,-0.3719447107059082,-0.2627814465760726,0.08,1,0.08,1,0.08,1,0.04,1
9,True,10,"(0.0,)",1000,9.0,3.75,20.0,1.0,2.0,3,0.6340788510893793,0.6671461938858818,inf,0,inf,0,inf,0,inf,0
9,True,10,"(0.0,)",1000,9.0,3.75,20.0,1.0,2.0,4,0.21309653934449144,0.3224113282511063,inf,0,0.17,1,0.17,1,0.02,1
10,True,10,"(0.0,)",1000,9.0,4.75,20.0,1.0,2.0,0,0.34395336957090084,0.3374104209521028,inf,0,inf,0,inf,0,0.11,1
10,True,10,"(0.0,)",1000,9.0,4.75,20.0,1.0,2.0,1,0.8237357553985624,0.8082686255016895,inf,0,inf,0,inf,0,inf,0
10,True,10,"(0.0,)",1000,9.0,4.75,20.0,1.0,2.0,2,-0.0,0.05395748098264061,0.13,1,0.13,1,0.13,1,0.02,1
10,True,10,"(0.0,)",1000,9.0,4.75,20.0,1.0,2.0,3,0.808867148569929,0.8116745895321085,inf,0,inf,0,inf,0,inf,0
10,True,10,"(0.0,)",1000,9.0,4.75,20.0,1.0,2.0,4,-0.12514313921160417,-0.042979421947439846,0.17,1,0.17,1,0.02,1,0.02,1
11,True,10,"(0.0,)",1000,9.0,4.5,20.0,1.0,2.0,0,0.3254010997523313,0.3663664570134296,inf,0,inf,0,inf,0,0.11,1
11,True,10,"(0.0,)",1000,9.0,4.5,20.0,1.0,2.0,1,0.7577930776318628,0.7380013610178182,inf,0,inf,0,inf,0,inf,0
11,True,10,"(0.0,)",1000,9.0,4.5,20.0,1.0,2.0,2,-0.0,0.047765275928377864,0.13,1,0.13,1,0.13,1,0.02,1
11,True,10,"(0.0,)",1000,9.0,4.5,20.0,1.0,2.0,3,0.7436350944452933,0.752245865678504,inf,0,inf,0,inf,0,inf,0
11,True,10,"(0.0,)",1000,9.0,4.5,20.0,1.0,2.0,4,-0.06265765957270654,0.010385835381980374,0.17,1,0.17,1,0.17,1,0.02,1
12,True,10,"(0.0,)",1000,9.0,4.25,20.0,1.0,2.0,0,0.3106461527981039,0.4492406656103107,inf,0,inf,0,inf,0,0.11,1
12,True,10,"(0.0,)",1000,9.0,4.25,20.0,1.0,2.0,1,0.6941075152517003,0.680430539540079,inf,0,inf,0,inf,0,inf,0
12,True,10,"(0.0,)",1000,9.0,4.25,20.0,1.0,2.0,2,-0.49996025406593236,-0.2869127527311172,0.13,1,0.13,1,0.08,1,0.02,1
12,True,10,"(0.0,)",1000,9.0,4.25,20.0,1.0,2.0,3,0.6917548928453296,0.7246518324754413,inf,0,inf,0,inf,0,inf,0
12,True,10,"(0.0,)",1000,9.0,4.25,20.0,1.0,2.0,4,-0.012961857037612845,0.05282816447672961,0.17,1,0.17,1,0.17,1,0.02,1
13,True,10,"(0.0,)",1000,9.0,2.0,20.0,1.0,2.0,0,0.21111207028452228,0.2432183253606675,inf,0,inf,0,inf,0,0.05,1
13,True,10,"(0.0,)",1000,9.0,2.0,20.0,1.0,2.0,1,0.5988099330215472,0.6049751225424574,inf,0,inf,0,inf,0,0.03,1
13,True,10,"(0.0,)",1000,9.0,2.0,20.0,1.0,2.0,2,-0.0,-0.13173752694919344,0.04,1,0.04,1,0.04,1,0.03,1
13,True,10,"(0.0,)",1000,9.0,2.0,20.0,1.0,2.0,3,0.45779697300063504,0.47835705942547324,inf,0,inf,0,inf,0,0.08,1
13,True,10,"(0.0,)",1000,9.0,2.0,20.0,1.0,2.0,4,0.31018095481521,0.3329121320893859,inf,0,inf,0,inf,0,0.02,1
