DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,sales_price,purchase_price,Burr_c,Burr_k,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
25,False,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
26,False,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.36474165163125194,0.9394674474231515,inf,0,inf,0,inf,0,1.0,1
26,False,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.127351121724428,0.8011166676020114,inf,0,inf,0,0.816,1,0.816,1
26,False,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.07634153460750646,0.7963598810043206,inf,0,0.82,1,0.82,1,0.82,1
26,False,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.3195337629702006,0.946111668367171,inf,0,inf,0,inf,0,1.0,1
26,False,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.048463739671903365,0.7370692658852617,0.767,1,0.767,1,0.767,1,0.767,1
27,False,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9311408460126094,inf,0,inf,0,inf,0,inf,0
27,False,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9339438767233676,inf,0,inf,0,inf,0,inf,0
27,False,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.93134847791711,inf,0,inf,0,inf,0,inf,0
27,False,0.944,1.25,1.5,0.5,21,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9371621712431271,inf,0,inf,0,inf,0,inf,0
