DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,order_cost,mat_to_prod,process_cost,num_material,salvage_price,poi_mean,sales_price,material_cost,purchase_yield,total_budget,num_product,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",0,0.0130928821712442,0.2642328487822017,0.461,1,0.264,1,0.264,1,0.168,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",1,-0.0115240540466885,0.2403963375552822,0.541,1,0.264,1,0.264,1,0.168,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",2,0.7520027625017265,0.6082093286101082,0.2,1,0.2,1,0.168,1,0.168,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",3,-0.0079151624991919,0.2488083479492449,0.628,1,0.588,1,0.506,1,0.136,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",4,0.0073639547345976,0.2645897533948012,0.586,1,0.586,1,0.2,1,0.168,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",5,-0.0,0.5480155496204853,0.236,1,0.236,1,0.168,1,0.136,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",6,0.0065078898394876,0.1483407337873068,0.296,1,0.2,1,0.2,1,0.168,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",7,-0.0120129177679386,0.1362880768732393,0.296,1,0.2,1,0.168,1,0.168,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",8,-0.0063651512416029,0.1340638274894096,0.2,1,0.2,1,0.2,1,0.168,1,1
1,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.5522, 0.5522, 0.6626, 0.7952]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.1625, 1.1625, 1.395, 1.674]","[0.9, 0.9, 0.9, 0.9]",600,3,"[1.8891, 1.8891, 2.2669, 2.7203]",9,0.3308653444811036,0.3246038226444064,0.586,1,0.586,1,0.424,1,0.168,1,1
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",0,0.2587802010685329,0.6150038623717745,0.379,1,0.379,1,0.264,1,0.232,1,2
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",1,0.0208242424387498,0.3121115156497871,0.621,1,0.621,1,0.54,1,0.264,1,2
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",2,0.0359893997051615,0.2792015056119528,0.461,1,0.461,1,0.338,1,0.296,1,2
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",3,0.0209418201720531,0.2774866736714617,0.672,1,0.622,1,0.296,1,0.232,1,2
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",4,-0.0070818602681734,0.2377472098332498,0.458,1,0.418,1,0.338,1,0.264,1,2
2,True,0.1,0.8,4,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,20,"[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.1, 0.1, 0.1]",4,"[0.496, 0.496, 0.5394, 0.5866]","[15.0, 15.0, 15.0]","[12.0, 12.0, 12.0]","[1.15, 1.15, 1.2506, 1.3601]","[0.9, 0.9, 0.9, 0.9]",600,3,"[2.7672, 2.7672, 3.0093, 3.2726]",5,0.7329609292335,0.366456427272765,0.504,1,0.504,1,0.504,1,0.264,1,2
