solver_dp,problem_dp,Average Optimality Gap,gamma_1,gamma_2,eta_1,eta_2
9.0,5.0,0.12042556583173036,2.4,0.1,0.2,0.8
10.0,5.0,0.181450862690818,2.9,0.7,0.2,0.7
11.0,5.0,0.20734624069584534,2.8,0.6,0.5,0.8
12.0,5.0,0.04768387195900988,2.6,0.4,0.4,0.5
13.0,5.0,0.0635784336111033,1.5,0.2,0.3,0.9
14.0,5.0,0.061217928419796765,1.0,0.7,0.4,0.6
15.0,5.0,0.34555016846938347,1.8,0.8,0.1,0.8
16.0,5.0,-9.239121761490943e-05,1.9,0.2,0.2,0.5
0.0,6.0,-0.0035347796880391196,1.5,0.5,0.1,0.8
1.0,6.0,0.16100371393913662,1.1,0.3,0.5,0.7
2.0,6.0,-0.00990186869242846,1.3,0.5,0.1,0.6
3.0,6.0,-0.009092267590343319,1.4,0.6,0.2,0.9
4.0,6.0,0.8069379715615963,2.5,0.9,0.3,0.6
5.0,6.0,0.1161736514854933,3.0,0.4,0.3,0.8
6.0,6.0,0.017099879325786112,2.3,0.3,0.5,0.6
7.0,6.0,0.07272401253116231,2.1,0.8,0.4,0.9
8.0,6.0,0.0055615595972326815,2.0,0.5,0.3,0.7
9.0,6.0,0.10576582917523922,2.4,0.1,0.2,0.8
10.0,6.0,0.4479584104853235,2.9,0.7,0.2,0.7
11.0,6.0,0.2249965432719562,2.8,0.6,0.5,0.8
12.0,6.0,-0.00243575178172577,2.6,0.4,0.4,0.5
13.0,6.0,0.03138899887006723,1.5,0.2,0.3,0.9
14.0,6.0,0.11423425926798873,1.0,0.7,0.4,0.6
15.0,6.0,0.04875762357091276,1.8,0.8,0.1,0.8
16.0,6.0,0.0004437971526871901,1.9,0.2,0.2,0.5
0.0,7.0,-0.010301476082621074,1.5,0.5,0.1,0.8
1.0,7.0,0.12475774697055604,1.1,0.3,0.5,0.7
2.0,7.0,-0.014805575940668142,1.3,0.5,0.1,0.6
3.0,7.0,-0.018001658024460552,1.4,0.6,0.2,0.9
4.0,7.0,0.33456705352584526,2.5,0.9,0.3,0.6
5.0,7.0,-0.0027454521296972007,3.0,0.4,0.3,0.8
6.0,7.0,0.07998221768748963,2.3,0.3,0.5,0.6
7.0,7.0,0.26559428900112614,2.1,0.8,0.4,0.9
8.0,7.0,-0.015554154069943852,2.0,0.5,0.3,0.7
9.0,7.0,0.029827396577117193,2.4,0.1,0.2,0.8
10.0,7.0,0.2620539156565235,2.9,0.7,0.2,0.7
11.0,7.0,0.2701220114931678,2.8,0.6,0.5,0.8
12.0,7.0,-0.00042617541655798964,2.6,0.4,0.4,0.5
13.0,7.0,-0.001934763114776501,1.5,0.2,0.3,0.9
14.0,7.0,0.12499828239223088,1.0,0.7,0.4,0.6
15.0,7.0,0.09901186193187242,1.8,0.8,0.1,0.8
16.0,7.0,0.025409778520210518,1.9,0.2,0.2,0.5
0.0,8.0,-0.0136552584683816,1.5,0.5,0.1,0.8
1.0,8.0,0.0027404147425627193,1.1,0.3,0.5,0.7
2.0,8.0,-0.0028903933811328026,1.3,0.5,0.1,0.6
3.0,8.0,-0.015188178095015983,1.4,0.6,0.2,0.9
4.0,8.0,0.4578370210467512,2.5,0.9,0.3,0.6
5.0,8.0,0.08422838900505784,3.0,0.4,0.3,0.8
6.0,8.0,-0.010613740951773828,2.3,0.3,0.5,0.6
7.0,8.0,0.23698800845473836,2.1,0.8,0.4,0.9
8.0,8.0,-0.014511776439885452,2.0,0.5,0.3,0.7
9.0,8.0,-0.0110171481521191,2.4,0.1,0.2,0.8
10.0,8.0,0.274383258612001,2.9,0.7,0.2,0.7
11.0,8.0,-0.0023823979265831397,2.8,0.6,0.5,0.8
12.0,8.0,-0.01217837568125036,2.6,0.4,0.4,0.5
13.0,8.0,-0.01038456514272186,1.5,0.2,0.3,0.9
14.0,8.0,0.035544689334122394,1.0,0.7,0.4,0.6
15.0,8.0,0.024908562546129866,1.8,0.8,0.1,0.8
16.0,8.0,-0.013987193809936321,1.9,0.2,0.2,0.5
0.0,9.0,-0.016684781585683157,1.5,0.5,0.1,0.8
1.0,9.0,-0.005966991005564711,1.1,0.3,0.5,0.7
2.0,9.0,-0.01564586063193142,1.3,0.5,0.1,0.6
3.0,9.0,-0.013990161248621411,1.4,0.6,0.2,0.9
4.0,9.0,0.3743605206963026,2.5,0.9,0.3,0.6
5.0,9.0,-0.012560533109122002,3.0,0.4,0.3,0.8
6.0,9.0,-0.006103795213084688,2.3,0.3,0.5,0.6
7.0,9.0,0.14542661342913885,2.1,0.8,0.4,0.9
8.0,9.0,-0.01659955040901128,2.0,0.5,0.3,0.7
9.0,9.0,-0.009479820504295158,2.4,0.1,0.2,0.8
10.0,9.0,0.277320590471031,2.9,0.7,0.2,0.7
11.0,9.0,0.06987683993244875,2.8,0.6,0.5,0.8
12.0,9.0,0.00759885756321437,2.6,0.4,0.4,0.5
13.0,9.0,-0.01119011033144573,1.5,0.2,0.3,0.9
14.0,9.0,0.07741515671637353,1.0,0.7,0.4,0.6
15.0,9.0,0.1263252422590885,1.8,0.8,0.1,0.8
16.0,9.0,-0.015630831790959095,1.9,0.2,0.2,0.5
0.0,10.0,-0.01685904234504105,1.5,0.5,0.1,0.8
1.0,10.0,0.04213738519129555,1.1,0.3,0.5,0.7
2.0,10.0,-0.0154454337582142,1.3,0.5,0.1,0.6
3.0,10.0,-0.015397175845483429,1.4,0.6,0.2,0.9
4.0,10.0,0.6961871909959119,2.5,0.9,0.3,0.6
5.0,10.0,-0.01068820307006629,3.0,0.4,0.3,0.8
6.0,10.0,-0.008852536872341752,2.3,0.3,0.5,0.6
7.0,10.0,0.446621470706857,2.1,0.8,0.4,0.9
8.0,10.0,-0.013472782685406252,2.0,0.5,0.3,0.7
9.0,10.0,0.07982642337109322,2.4,0.1,0.2,0.8
10.0,10.0,0.08432594399571296,2.9,0.7,0.2,0.7
11.0,10.0,0.034252419367418234,2.8,0.6,0.5,0.8
12.0,10.0,0.00103840067347216,2.6,0.4,0.4,0.5
13.0,10.0,0.0032348475493479112,1.5,0.2,0.3,0.9
14.0,10.0,0.1026234932317404,1.0,0.7,0.4,0.6
15.0,10.0,0.10312705601775925,1.8,0.8,0.1,0.8
16.0,10.0,-0.00731081508769686,1.9,0.2,0.2,0.5
0.0,11.0,-0.00786155509154694,1.5,0.5,0.1,0.8
1.0,11.0,0.2940190740198588,1.1,0.3,0.5,0.7
2.0,11.0,-0.0114579706240743,1.3,0.5,0.1,0.6
3.0,11.0,-0.01209075476450453,1.4,0.6,0.2,0.9
4.0,11.0,0.4471449390019542,2.5,0.9,0.3,0.6
5.0,11.0,0.006264943549725439,3.0,0.4,0.3,0.8
6.0,11.0,-0.011482498716392951,2.3,0.3,0.5,0.6
7.0,11.0,0.3070974258150186,2.1,0.8,0.4,0.9
8.0,11.0,-0.00498141252321473,2.0,0.5,0.3,0.7
9.0,11.0,0.1068498538525657,2.4,0.1,0.2,0.8
10.0,11.0,0.36371824616731396,2.9,0.7,0.2,0.7
11.0,11.0,0.023878456552272612,2.8,0.6,0.5,0.8
12.0,11.0,0.01664632113319969,2.6,0.4,0.4,0.5
13.0,11.0,0.025780285874717236,1.5,0.2,0.3,0.9
14.0,11.0,0.3526298512735594,1.0,0.7,0.4,0.6
15.0,11.0,0.04654656068584286,1.8,0.8,0.1,0.8
16.0,11.0,-0.00265279100238103,1.9,0.2,0.2,0.5
0.0,12.0,-0.015039922624653018,1.5,0.5,0.1,0.8
1.0,12.0,-0.009065259106958521,1.1,0.3,0.5,0.7
2.0,12.0,-0.01463991209934935,1.3,0.5,0.1,0.6
3.0,12.0,-0.014125274439031471,1.4,0.6,0.2,0.9
