solver_dp,problem_dp,Average Optimality Gap,gamma_1,gamma_2,eta_1,eta_2
3.0,24.0,-0.03025413714904416,1.4,0.6,0.2,0.9
4.0,24.0,0.6560801714298372,2.5,0.9,0.3,0.6
5.0,24.0,0.016411728567509,3.0,0.4,0.3,0.8
6.0,24.0,-0.030154849276389555,2.3,0.3,0.5,0.6
7.0,24.0,0.16969223247363216,2.1,0.8,0.4,0.9
8.0,24.0,-0.03156749812260825,2.0,0.5,0.3,0.7
9.0,24.0,0.3215261435189346,2.4,0.1,0.2,0.8
10.0,24.0,0.15277025187927123,2.9,0.7,0.2,0.7
11.0,24.0,0.023124056616729192,2.8,0.6,0.5,0.8
12.0,24.0,-0.030209740471312724,2.6,0.4,0.4,0.5
13.0,24.0,-0.03143537437140894,1.5,0.2,0.3,0.9
14.0,24.0,-0.0062891788168174005,1.0,0.7,0.4,0.6
15.0,24.0,0.16809417512599048,1.8,0.8,0.1,0.8
16.0,24.0,-0.029214913511694796,1.9,0.2,0.2,0.5
0.0,25.0,-0.012182561572391861,1.5,0.5,0.1,0.8
1.0,25.0,0.13511580051631564,1.1,0.3,0.5,0.7
2.0,25.0,-0.00855145741660669,1.3,0.5,0.1,0.6
3.0,25.0,-0.01166085420744626,1.4,0.6,0.2,0.9
4.0,25.0,0.7587726768276084,2.5,0.9,0.3,0.6
5.0,25.0,0.15972307284676618,3.0,0.4,0.3,0.8
6.0,25.0,-0.00858887059423225,2.3,0.3,0.5,0.6
7.0,25.0,0.02792348586137309,2.1,0.8,0.4,0.9
8.0,25.0,-0.01010859742884402,2.0,0.5,0.3,0.7
9.0,25.0,-0.0010170921508029303,2.4,0.1,0.2,0.8
10.0,25.0,0.2596538381002849,2.9,0.7,0.2,0.7
11.0,25.0,-0.0020428417424968597,2.8,0.6,0.5,0.8
12.0,25.0,0.010381184014834802,2.6,0.4,0.4,0.5
13.0,25.0,-0.011276868668586463,1.5,0.2,0.3,0.9
14.0,25.0,0.0450307420237655,1.0,0.7,0.4,0.6
15.0,25.0,0.09965456640245261,1.8,0.8,0.1,0.8
16.0,25.0,-0.003513570766405029,1.9,0.2,0.2,0.5
0.0,26.0,-0.0107674821278402,1.5,0.5,0.1,0.8
1.0,26.0,-0.00893010192986199,1.1,0.3,0.5,0.7
2.0,26.0,-0.00940566358189556,1.3,0.5,0.1,0.6
3.0,26.0,-0.01052934655725053,1.4,0.6,0.2,0.9
4.0,26.0,0.8040964091403054,2.5,0.9,0.3,0.6
5.0,26.0,-0.00307596870294475,3.0,0.4,0.3,0.8
6.0,26.0,-0.00673825194972944,2.3,0.3,0.5,0.6
7.0,26.0,0.33941282201159734,2.1,0.8,0.4,0.9
8.0,26.0,-0.00879646155084595,2.0,0.5,0.3,0.7
9.0,26.0,0.11052421791018693,2.4,0.1,0.2,0.8
10.0,26.0,0.28163434376682833,2.9,0.7,0.2,0.7
11.0,26.0,0.21206783054040407,2.8,0.6,0.5,0.8
12.0,26.0,-0.004814509733511394,2.6,0.4,0.4,0.5
13.0,26.0,-0.008558445664017294,1.5,0.2,0.3,0.9
14.0,26.0,0.01274994885586267,1.0,0.7,0.4,0.6
15.0,26.0,0.015947191296442,1.8,0.8,0.1,0.8
16.0,26.0,-0.00927627994598364,1.9,0.2,0.2,0.5
0.0,27.0,-0.01260200911802086,1.5,0.5,0.1,0.8
1.0,27.0,0.016338388863380522,1.1,0.3,0.5,0.7
2.0,27.0,-0.01387300548974732,1.3,0.5,0.1,0.6
3.0,27.0,-0.014672902242906991,1.4,0.6,0.2,0.9
4.0,27.0,0.22280291480838774,2.5,0.9,0.3,0.6
5.0,27.0,-0.01243589395437722,3.0,0.4,0.3,0.8
6.0,27.0,-0.010159431890373572,2.3,0.3,0.5,0.6
7.0,27.0,0.1344339786526409,2.1,0.8,0.4,0.9
8.0,27.0,-0.011671452720975029,2.0,0.5,0.3,0.7
9.0,27.0,-0.0054268702809358,2.4,0.1,0.2,0.8
10.0,27.0,0.3877447821203899,2.9,0.7,0.2,0.7
11.0,27.0,0.02048230635085148,2.8,0.6,0.5,0.8
12.0,27.0,-0.0145546843198768,2.6,0.4,0.4,0.5
13.0,27.0,-0.00776732709978178,1.5,0.2,0.3,0.9
14.0,27.0,0.07009913386534403,1.0,0.7,0.4,0.6
15.0,27.0,0.1234464948750608,1.8,0.8,0.1,0.8
16.0,27.0,-0.015109226029846063,1.9,0.2,0.2,0.5
0.0,28.0,-0.01810080725340192,1.5,0.5,0.1,0.8
1.0,28.0,0.0134496220735815,1.1,0.3,0.5,0.7
2.0,28.0,-0.012509736559850618,1.3,0.5,0.1,0.6
3.0,28.0,-0.014620557545361812,1.4,0.6,0.2,0.9
4.0,28.0,0.5925146076822404,2.5,0.9,0.3,0.6
5.0,28.0,0.01367832903261228,3.0,0.4,0.3,0.8
6.0,28.0,-0.015499659005974381,2.3,0.3,0.5,0.6
7.0,28.0,0.1316417330199761,2.1,0.8,0.4,0.9
8.0,28.0,0.03252242590730139,2.0,0.5,0.3,0.7
9.0,28.0,-0.01220146484636848,2.4,0.1,0.2,0.8
10.0,28.0,0.30725390898001104,2.9,0.7,0.2,0.7
11.0,28.0,0.1399663209119229,2.8,0.6,0.5,0.8
12.0,28.0,-0.0016456059577853303,2.6,0.4,0.4,0.5
13.0,28.0,-0.011944613073648021,1.5,0.2,0.3,0.9
14.0,28.0,0.06644436615749941,1.0,0.7,0.4,0.6
15.0,28.0,0.17269954399080073,1.8,0.8,0.1,0.8
16.0,28.0,-0.01500785058165045,1.9,0.2,0.2,0.5
0.0,29.0,-0.01035881525065559,1.5,0.5,0.1,0.8
1.0,29.0,0.028787064750587538,1.1,0.3,0.5,0.7
2.0,29.0,-0.007212085399996178,1.3,0.5,0.1,0.6
3.0,29.0,-0.01078113716635714,1.4,0.6,0.2,0.9
4.0,29.0,0.7074701667366539,2.5,0.9,0.3,0.6
5.0,29.0,-0.00927145829127799,3.0,0.4,0.3,0.8
6.0,29.0,-0.00690998934623806,2.3,0.3,0.5,0.6
7.0,29.0,0.04909852208167066,2.1,0.8,0.4,0.9
8.0,29.0,-0.01132083946655309,2.0,0.5,0.3,0.7
9.0,29.0,0.04311583885500335,2.4,0.1,0.2,0.8
10.0,29.0,0.23743888146540465,2.9,0.7,0.2,0.7
11.0,29.0,0.051052166258029094,2.8,0.6,0.5,0.8
12.0,29.0,0.004856834697609341,2.6,0.4,0.4,0.5
13.0,29.0,-0.00845319132261341,1.5,0.2,0.3,0.9
14.0,29.0,0.037114235022553524,1.0,0.7,0.4,0.6
15.0,29.0,0.12028811235484596,1.8,0.8,0.1,0.8
16.0,29.0,-0.008663820275476148,1.9,0.2,0.2,0.5
0.0,30.0,-0.0074964424495295905,1.5,0.5,0.1,0.8
1.0,30.0,-0.010199855256964969,1.1,0.3,0.5,0.7
2.0,30.0,-0.012517864383037971,1.3,0.5,0.1,0.6
3.0,30.0,-0.008550817896512141,1.4,0.6,0.2,0.9
4.0,30.0,0.5413399098228814,2.5,0.9,0.3,0.6
5.0,30.0,0.013185565850551648,3.0,0.4,0.3,0.8
6.0,30.0,-0.012319321578834188,2.3,0.3,0.5,0.6
7.0,30.0,0.28899248389243604,2.1,0.8,0.4,0.9
8.0,30.0,-0.01323278479087776,2.0,0.5,0.3,0.7
9.0,30.0,-0.006731734551470041,2.4,0.1,0.2,0.8
10.0,30.0,0.1874796523582036,2.9,0.7,0.2,0.7
11.0,30.0,0.03892790430827123,2.8,0.6,0.5,0.8
12.0,30.0,-0.00975918777738816,2.6,0.4,0.4,0.5
13.0,30.0,-0.01120462081052265,1.5,0.2,0.3,0.9
14.0,30.0,0.05018831417184686,1.0,0.7,0.4,0.6
15.0,30.0,0.02410742389065017,1.8,0.8,0.1,0.8
16.0,30.0,0.0030356815612066212,1.9,0.2,0.2,0.5
0.0,31.0,-0.01624707313595495,1.5,0.5,0.1,0.8
1.0,31.0,0.006630140755873791,1.1,0.3,0.5,0.7
2.0,31.0,-0.011365416057148438,1.3,0.5,0.1,0.6
3.0,31.0,-0.012350138545996658,1.4,0.6,0.2,0.9
4.0,31.0,0.712404614879425,2.5,0.9,0.3,0.6
5.0,31.0,-0.00898544948367573,3.0,0.4,0.3,0.8
6.0,31.0,-0.00569457771997854,2.3,0.3,0.5,0.6
7.0,31.0,0.1505355831947021,2.1,0.8,0.4,0.9
8.0,31.0,-0.014102509098992331,2.0,0.5,0.3,0.7
9.0,31.0,0.009691875406206307,2.4,0.1,0.2,0.8
10.0,31.0,0.31519796867885785,2.9,0.7,0.2,0.7
11.0,31.0,0.21770670041470536,2.8,0.6,0.5,0.8
12.0,31.0,-0.0033539775115380894,2.6,0.4,0.4,0.5
13.0,31.0,-0.010966206119787849,1.5,0.2,0.3,0.9
14.0,31.0,0.021923570503269492,1.0,0.7,0.4,0.6
15.0,31.0,0.05289422174337736,1.8,0.8,0.1,0.8
16.0,31.0,-0.014303337379694369,1.9,0.2,0.2,0.5
0.0,32.0,-0.015523912742914137,1.5,0.5,0.1,0.8
1.0,32.0,-0.00812745412896995,1.1,0.3,0.5,0.7
2.0,32.0,-0.01637944998651271,1.3,0.5,0.1,0.6
3.0,32.0,-0.01480245590525453,1.4,0.6,0.2,0.9
4.0,32.0,0.556855684178902,2.5,0.9,0.3,0.6
5.0,32.0,0.08375884775682492,3.0,0.4,0.3,0.8
6.0,32.0,-0.011238393986502079,2.3,0.3,0.5,0.6
7.0,32.0,0.06477377614531041,2.1,0.8,0.4,0.9
8.0,32.0,-0.01109830820995364,2.0,0.5,0.3,0.7
9.0,32.0,0.00019856331430102083,2.4,0.1,0.2,0.8
10.0,32.0,0.21043762146961592,2.9,0.7,0.2,0.7
11.0,32.0,0.052379495043775905,2.8,0.6,0.5,0.8
12.0,32.0,-0.00425964231034731,2.6,0.4,0.4,0.5
13.0,32.0,-0.01125530741845635,1.5,0.2,0.3,0.9
14.0,32.0,0.01763971988669609,1.0,0.7,0.4,0.6
15.0,32.0,0.1369210853794104,1.8,0.8,0.1,0.8
16.0,32.0,-0.01302674864716323,1.9,0.2,0.2,0.5
