DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,poi_mean,material_cost,purchase_yield,process_cost,mat_to_prod,sales_price,salvage_price,num_material,order_cost,total_budget,num_product,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp,solver_dp
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",0,0.0101389705911697,0.1517921495869857,0.2,1,0.2,1,0.2,1,0.168,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",1,-0.0,0.1682592018061897,0.264,1,0.264,1,0.232,1,0.2,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",2,0.0063985678833336,0.152831695209398,0.296,1,0.2,1,0.2,1,0.168,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",3,0.0218371164730935,0.1781691004680071,0.424,1,0.2,1,0.2,1,0.168,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",4,0.0221955949655257,0.1717316793832354,0.338,1,0.264,1,0.232,1,0.136,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",5,0.0065268747888277,0.1484247817989868,0.3,1,0.2,1,0.2,1,0.168,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",6,0.0033956311227403,0.1469428925377985,0.268,1,0.2,1,0.2,1,0.168,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",7,0.0109610420984977,0.1689143397467185,0.264,1,0.232,1,0.232,1,0.168,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",8,0.002731398399924,0.2009654837129488,0.378,1,0.378,1,0.338,1,0.2,1,0,default
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",9,0.0249104628724243,0.1746514513421534,0.3,1,0.268,1,0.2,1,0.168,1,0,default
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",0,0.00322120895198,0.1579191830801262,0.232,1,0.232,1,0.232,1,0.168,1,1,default
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",1,0.0010234392744416,0.1478841123498723,0.232,1,0.2,1,0.2,1,0.168,1,1,default
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",2,0.0067935428041322,0.1575166435852162,0.232,1,0.2,1,0.2,1,0.168,1,1,default
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",3,0.0268047629002802,0.17565117155117,0.418,1,0.232,1,0.2,1,0.168,1,1,default
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",4,0.0198998540264759,0.1668880824128666,0.383,1,0.2,1,0.2,1,0.136,1,1,default
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",5,0.0039005286346034,0.1526826003396527,0.264,1,0.2,1,0.2,1,0.168,1,1,default
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",6,0.0058605870196364,0.1489946545629105,0.264,1,0.2,1,0.2,1,0.168,1,1,default
