DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,num_product,process_cost,mat_to_prod,purchase_yield,poi_mean,num_material,material_cost,order_cost,salvage_price,total_budget,recourse_cost,sales_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",0,0.13509866162939013,0.6231241246786541,inf,0,inf,0,0.84,1,0.52,1,"(20, 20, 20, 20)",375.32820000000004,"(41.9417, 76.6991, 85.3855, 56.7492)",485.14332435276316
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",1,0.28492240623718124,0.6762330240965688,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",298.6879666666666,"(49.4762, 84.2481, 61.372, 49.8581)",465.37136143768026
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",2,0.24788305059262747,0.6066048698186818,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",376.4725333333334,"(52.0023, 89.3126, 89.3656, 18.7401)",470.2593768061374
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",3,0.21427924679212199,0.6396940168006761,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",347.206,"(54.5867, 58.9879, 85.7219, 67.7696)",474.6940087417403
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",4,0.1491218224504077,0.6294686277079511,inf,0,inf,0,0.84,1,0.52,1,"(20, 20, 20, 20)",348.8229,"(51.6972, 61.9438, 88.5944, 61.5478)",483.2927137140341
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",5,0.08940037274423494,0.5852312449432286,inf,0,0.84,1,0.84,1,0.52,1,"(20, 20, 20, 20)",343.7759666666666,"(51.2839, 82.0508, 124.723, 66.6831)",491.17404315161133
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",6,0.14503011064225949,0.624233037709939,inf,0,inf,0,0.84,1,0.52,1,"(20, 20, 20, 20)",359.38339999999994,"(63.0489, 70.5213, 87.4616, 43.9528)",483.832689365702
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",7,0.07595208682342472,0.5741779245688831,inf,0,0.84,1,0.84,1,0.52,1,"(20, 20, 20, 20)",316.93033333333335,"(46.7678, 64.9823, 136.1755, 58.6848)",492.94878861130974
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",8,0.184285865564081,0.6750355479650032,inf,0,inf,0,1.0,1,0.52,1,"(20, 20, 20, 20)",468.83760000000007,"(49.3262, 67.5442, 77.7374, 58.5758)",478.6521798773717
0,True,0.125,0.6,2.25,0.825,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[0.975, 0.9994, 1.0244, 1.05]",0,"[0.39, 0.3998, 0.4097, 0.42]",1200,"[1.7672, 1.8114, 1.8567, 1.9031]","[6, 12, 20]",9,0.1533781367229052,0.6749049956131381,inf,0,inf,0,1.0,1,0.52,1,"(20, 20, 20, 20)",384.9732333333332,"(47.0831, 66.3756, 80.7809, 55.4918)",482.7310157790969
