DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,poi_mean,material_cost,purchase_yield,process_cost,mat_to_prod,sales_price,salvage_price,num_material,order_cost,total_budget,num_product,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",0,0.003221208951980075,0.15791918308012626,0.232,1,0.232,1,0.232,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",1,0.0010234392744416425,0.14788411234987237,0.232,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",2,0.006793542804132297,0.15751664358521625,0.232,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",3,0.026804762900280235,0.17565117155117005,0.418,1,0.232,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",4,0.0198998540264759,0.1668880824128666,0.383,1,0.2,1,0.2,1,0.136,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",5,0.0039005286346034907,0.15268260033965275,0.264,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",6,0.005860587019636401,0.1489946545629105,0.264,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",7,0.023221244991590954,0.16405925220757342,0.264,1,0.2,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",8,0.007203481445450155,0.16231574310346075,0.342,1,0.232,1,0.2,1,0.168,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.825, 0.8662, 0.9096, 0.955]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4228, 0.444, 0.4662, 0.4895]",4,0,600,3,"[1.9594, 2.0573, 2.1602, 2.2682]",9,0.016982883089311618,0.17500188648477089,0.418,1,0.338,1,0.2,1,0.168,1
