DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,num_product,process_cost,mat_to_prod,purchase_yield,poi_mean,num_material,material_cost,order_cost,salvage_price,total_budget,recourse_cost,sales_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",0,0.015807811832494995,0.5755004803713213,1.0,1,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",268.2336666666667,"(41.1351, 78.9895, 127.9314, 49.0009)",481.1614450240097
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",1,0.05479536153990171,0.5866689555924828,inf,0,1.0,1,1.0,1,0.52,1,"(20, 20, 20, 20)",228.74888888888887,"(53.6498, 73.6769, 139.9648, 61.2445)",472.5509148770741
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",2,0.2295039809831616,0.5900364214793188,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",260.33671111111113,"(75.8685, 59.4294, 130.0996, 96.5445)",433.9659346478625
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",3,0.22597344340639902,0.5923470707108458,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",220.8519333333333,"(75.1658, 59.1619, 130.3518, 95.4865)",434.7456656252578
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",4,0.21611926386414332,0.5855591993769679,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",244.54280000000006,"(74.0062, 61.1261, 132.9504, 94.1759)",436.9219939828665
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",5,0.01810986198757527,0.5751477662869333,1.0,1,1.0,1,0.68,1,0.52,1,"(20, 20, 20, 20)",252.4397555555555,"(42.8599, 79.368, 128.7484, 42.4294)",480.65302958346945
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",6,0.08300506082345126,0.5888575819633505,inf,0,1.0,1,1.0,1,0.52,1,"(20, 20, 20, 20)",268.2336666666667,"(52.0852, 71.7789, 143.3423, 69.3551)",466.3207088769559
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",7,-0.0,0.576447490674068,1.0,1,1.0,1,1.0,1,0.52,1,"(20, 20, 20, 20)",236.64584444444444,"(46.2873, 75.747, 119.3872, 54.8409)",484.65265289324714
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",8,0.19849339183861153,0.575486439102153,inf,0,inf,0,0.68,1,0.52,1,"(20, 20, 20, 20)",315.61539999999997,"(78.1937, 76.5532, 134.8227, 91.4066)",440.81472649826844
0,True,0.225,0.65,2.625,0.525,10,True,True,0.1,"[20, 20, 20, 20]",500,3,"[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[1, 1, 1, 1]","[20, 25, 15]",4,"[1.125, 1.125, 1.125, 1.125]",0,"[0.4781, 0.4781, 0.4781, 0.4781]",1200,"[2.4609, 2.4609, 2.4609, 2.4609]","[6, 12, 20]",9,0.29535350815048644,0.5967436447013454,inf,0,inf,0,inf,0,0.52,1,"(20, 20, 20, 20)",284.02757777777776,"(73.6107, 50.1207, 130.5486, 104.1638)",419.4228473522793
