1.0	9.72	0.38	4.44	7.38	0.29	3.63	8.59	0.1
1.38	7.0	0.54	3.88	8.59	0.51	3.5	9.06	0.15
1.5	8.69	0.15	4.53	9.91	0.3	3.56	9.91	0.44
2.75	7.38	0.1	3.78	7.19	0.52	3.38	9.81	0.38
1.25	9.91	0.37	4.34	7.94	0.24	4.19	8.31	0.57
1.13	7.19	0.44	4.16	8.69	0.49	4.69	7.38	0.58
2.25	8.59	0.12	4.25	10.0	0.27	4.25	7.28	0.16
2.88	7.94	0.13	3.97	7.28	0.48	4.56	7.0	0.33
2.38	9.25	0.49	3.41	7.84	0.44	5.0	9.44	0.3
2.0	8.03	0.46	2.94	9.34	0.33	4.81	8.88	0.18
2.13	9.34	0.22	2.09	8.97	0.57	4.75	9.53	0.41
1.88	7.84	0.27	2.19	7.75	0.12	4.06	8.78	0.49
2.63	9.53	0.51	3.31	8.22	0.54	3.06	7.66	0.43
1.63	8.22	0.41	2.38	9.53	0.32	3.13	7.84	0.48
2.5	9.44	0.18	2.28	8.88	0.6	3.69	7.75	0.24
1.75	8.13	0.3	2.0	7.56	0.15	3.88	8.03	0.19
3.0	8.5	0.35	3.5	8.5	0.35	4.0	8.5	0.35
5.0	7.28	0.32	2.56	9.63	0.41	4.38	8.41	0.6
4.63	10.0	0.16	3.13	8.41	0.19	4.5	7.94	0.55
4.5	8.31	0.55	2.47	7.09	0.4	4.44	7.09	0.26
3.25	9.63	0.6	3.22	9.81	0.18	4.63	7.19	0.32
4.75	7.09	0.33	2.66	9.06	0.46	3.81	8.69	0.13
4.88	9.81	0.26	2.84	8.31	0.21	3.31	9.63	0.12
3.75	8.41	0.58	2.75	7.0	0.43	3.75	9.72	0.54
3.13	9.06	0.57	3.03	9.72	0.22	3.44	10.0	0.37
3.63	7.75	0.21	3.59	9.16	0.26	3.0	7.56	0.4
4.0	8.97	0.24	4.06	7.66	0.37	3.19	8.13	0.52
3.88	7.66	0.48	4.91	8.03	0.13	3.25	7.47	0.29
4.13	9.16	0.43	4.81	9.25	0.58	3.94	8.22	0.21
3.38	7.47	0.19	3.69	8.78	0.16	4.94	9.34	0.27
4.38	8.78	0.29	4.63	7.47	0.38	4.88	9.16	0.22
3.5	7.56	0.52	4.72	8.13	0.1	4.31	9.25	0.46
4.25	8.88	0.4	5.0	9.44	0.55	4.13	8.97	0.51
