DesignPt#,sample_size,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,Area Under Progress Curve,Solve Time
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.20359683987417837,0.143
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.41494548686052346,inf
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.13503963939325414,0.026
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.03452622047786757,0.143
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,-0.034768226357686643,0.052
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.18053529739758298,inf
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.004471145766551076,0.065
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.13549763424814293,0.208
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.0501226690384516,0.091
0,13,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.04683057134881395,0.065
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.16953113660358465,0.077
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.4630506684293385,inf
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.2728607515774532,inf
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.14536611959710818,0.028
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,-0.14020632507379321,0.021
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.15759376736923708,inf
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.07142275239287946,0.077
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.09369734182337856,0.112
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.22844286610910358,0.07
1,7,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,-0.04445487154548909,0.028
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.1618943436844228,0.088
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.48406478737452213,inf
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.12206087656918999,0.04
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.008145836398081151,0.064
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,-0.07143022102363396,0.072
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.24508764902608102,inf
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.10199417377123218,0.512
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.07972599662435464,0.04
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.2780711929640128,0.072
2,8,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.01093088581001593,0.08
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.17937839324681318,0.11
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.4476863832069608,inf
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.17395981609553365,inf
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.025372791328914936,0.06
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,-0.02675599787452148,0.17
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.25869659964239183,inf
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.005562354697012378,0.06
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.04692085013065612,0.04
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.0103841403432933,0.11
3,10,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.06340916731980459,0.1
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.2937580489525475,0.264
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.6683926117400024,inf
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.2511457958222983,0.48
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.24182178902250312,0.168
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,0.05154598730701534,0.144
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.3299960691649459,inf
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.12808735880092825,0.168
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.07646567952482752,0.048
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.2238609530512535,inf
4,24,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.06803620438070934,0.264
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.34487774394183457,0.33
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.42859152364784814,inf
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.2780194327629611,0.45
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.0782141760823192,0.09
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,0.020662908277594677,0.09
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.28833523224911356,inf
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.14075882951348978,0.39
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.24805828691098086,0.24
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.16986108026598068,0.15
5,30,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.17812138615086895,0.18
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.2691686282948104,0.231
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.6276074275375016,inf
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.17838037351751973,0.168
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,3,0.2947241405980222,0.273
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,4,0.018833895225700996,0.105
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,5,0.2224093352888048,inf
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,6,0.07379032571840513,0.147
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,7,0.3678393128784027,0.504
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,8,0.036493063328286675,0.084
6,21,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,9,0.1280067700130217,0.147
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,0,0.25277568118965243,0.209
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,1,0.5536373681851626,inf
7,19,5.0,9.0,1.0,0.26028737138234254,2.0,20.0,2,0.21530887041444213,0.589
